HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Unique_ID,Input.1,Input.2,Input.3,Input.4,Input.5,Input.6,Input.7,Input.8,Input.9,Input.10,Input.11,Input.12,Input.13,Input.14,Answer.Age,Answer.Education,Answer.Gender,Answer.Q10Credibility,Answer.Q11Credibility,Answer.Q12Credibility,Answer.Q13Credibility,Answer.Q14Credibility,Answer.Q1Credibility,Answer.Q2Credibility,Answer.Q3Credibility,Answer.Q4Credibility,Answer.Q5Credibility,Answer.Q6Credibility,Answer.Q7Credibility,Answer.Q8Credibility,Answer.Q9Credibility,Answer.US,Answer.freeEntry,Answer.valid,Approve,Reject
335VBRURDJ0XHFCCAMUVI9J7MDL9EI,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3AMW0RGHOD2OQS3QADZDJ69FK1TPNI,AXQWKUJF7SQXP,Approved,Thu Nov 30 09:40:54 PST 2017,Thu Nov 30 09:42:24 PST 2017,Tue Dec 05 09:42:24 PST 2017,Fri Dec 01 06:45:16 PST 2017,,,90,100% (1/1),100% (1/1),100% (1/1),69468843,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.1.jpg,26,Bachelor,Male,5,6,5,6,5,5,6,4,6,6,5,5,6,5,Yes,experienced different tweets,4,,
33IXYHIZB5IMHVRDPDFG8MBTG7B2EJ,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,36H9ULYP62UGGPNBHCBGE5EU9CVJF1,A2QIZ31TMHU0GD,Approved,Thu Nov 30 18:21:38 PST 2017,Thu Nov 30 18:39:57 PST 2017,Tue Dec 05 18:39:57 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,1099,100% (1/1),100% (1/1),100% (1/1),64447017,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.3.jpg,27,Bachelor,Male,4,5,4,3,6,5,6,5,7,5,3,3,5,6,Yes,no,4,,
33P2GD6NRNSTILM54KTQTLU0PNPHK0,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3FTF2T8WLRITLZWXLPU3TZMR89G9WZ,A39ZNRZB9EATLB,Approved,Thu Nov 30 09:44:20 PST 2017,Thu Nov 30 09:50:44 PST 2017,Tue Dec 05 09:50:44 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,384,100% (1/1),100% (1/1),100% (1/1),55258450,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.2.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.5.3.jpg,21,Master,Male,5,6,6,4,6,4,6,5,5,4,4,4,5,4,Yes,no,four,,
341YLJU21IZYX0TZLW57T19L80I2IS,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3U5NZHP4LR2WGWHF7F40EMCJYOJHPY,A2E1Q8YL50CMD0,Approved,Thu Nov 30 09:33:46 PST 2017,Thu Nov 30 09:41:33 PST 2017,Tue Dec 05 09:41:33 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,467,100% (1/1),100% (1/1),100% (1/1),11896299,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.3.jpg,27,Bachelor,Male,7,6,7,6,7,7,6,6,6,7,6,5,6,7,No,NONE,FOUR,,
3421H3BM9AH5SVY4ON5MFPWZRLH9J3,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3WZ36BJEV3GKHB70O43OXLAISGPTBT,A1QRLJ6KICINOX,Approved,Thu Nov 30 17:26:49 PST 2017,Thu Nov 30 17:28:50 PST 2017,Tue Dec 05 17:28:50 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,121,100% (1/1),100% (1/1),100% (1/1),27968712,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.14.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.5.2.jpg,55,High school,Female,4,4,4,4,4,4,4,6,3,4,5,4,3,5,Yes,no,4,,
344M16OZKIFI6HG6BWD00AERR22ENM,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:10 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:10 PST 2017,,,3I7DHKZYGN089Q8QSA7MDVVPRBQF51,A1EN9IMH5K6QQ6,Approved,Thu Nov 30 16:33:09 PST 2017,Thu Nov 30 16:44:30 PST 2017,Tue Dec 05 16:44:30 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,681,100% (1/1),100% (1/1),100% (1/1),14665270,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.8.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.1.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.2.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.3.3.jpg,30,Master,Male,5,5,6,5,7,4,5,5,2,4,4,5,6,4,Yes,GOOD,4,,
34F34TZU7WZUSBD53EQ752OLLF72J4,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3DHE4R9OCWBMOTLYLBB6X9SP8FJG2I,A2A4UAFZ5LW71K,Approved,Thu Nov 30 10:03:23 PST 2017,Thu Nov 30 10:08:31 PST 2017,Tue Dec 05 10:08:31 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,308,100% (1/1),100% (1/1),100% (1/1),22880968,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.2.jpg,36,High school,Female,6,3,2,3,4,7,4,6,6,6,6,6,5,7,Yes,no,4,,
34OWYT6U3WH9XKEY65KM3OHZE6S9IR,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3ZDAD0O1T1DRUEA1T0V6MI1ABIOTXB,A28LJ6540DSBSQ,Approved,Thu Nov 30 09:38:37 PST 2017,Thu Nov 30 12:25:31 PST 2017,Tue Dec 05 12:25:31 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,10014,100% (1/1),100% (1/1),100% (1/1),86097752,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.2.jpg,33,High school,Female,6,3,4,4,5,5,7,7,5,5,7,7,7,6,Yes,{},4,,
34ZTTGSNJXOFTOK0HPDNP769OTHHQS,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:13 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:13 PST 2017,,,37C0GNLMHF37UAU86NM1H164BTU6D6,AMI7O28BUU547,Approved,Thu Nov 30 18:01:44 PST 2017,Thu Nov 30 18:07:53 PST 2017,Tue Dec 05 18:07:53 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,369,100% (1/1),100% (1/1),100% (1/1),53825926,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.13.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.18.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.1.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.3.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.4.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.5.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.6.1.jpg,25,Bachelor,Male,1,1,1,1,1,5,7,5,6,7,7,7,6,1,Yes,{},4,,
3566S7OX5DJUJVU7J11WXT972ET71L,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3A9AA95ATWMK03XK6D3RPP9TTHC5PT,A3HJC6BU35CPE0,Approved,Thu Nov 30 16:18:27 PST 2017,Thu Nov 30 16:20:46 PST 2017,Tue Dec 05 16:20:46 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,139,100% (1/1),100% (1/1),100% (1/1),10592957,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.2.jpg,26,Bachelor,Female,5,4,4,4,4,7,7,7,7,7,7,7,7,7,No,{},4,,
360ZO6N6J1JVT34PRKIEVHOGVFC9M7,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:12 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:12 PST 2017,,,3TE3O857308DDJUC1M5IWD6WAO32R9,A24CNWX2BQA638,Approved,Thu Nov 30 10:43:47 PST 2017,Thu Nov 30 10:46:02 PST 2017,Tue Dec 05 10:46:02 PST 2017,Fri Dec 01 06:45:17 PST 2017,,,135,100% (1/1),100% (1/1),100% (1/1),59099587,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.12.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.14.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.15.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.16.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.3.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.5.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.6.1.jpg,24,Associate,,1,2,2,2,3,4,3,5,6,5,5,2,6,1,Yes,No,4,,
36AZSFEYZ40X7JDV3WX19J2JA8RBV0,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:11 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:11 PST 2017,,,3TK8OJTYM1L1YXCZC4L4TN3S63UPVW,A1CWDCM0WHXQXZ,Approved,Thu Nov 30 09:35:10 PST 2017,Thu Nov 30 09:48:31 PST 2017,Tue Dec 05 09:48:31 PST 2017,Fri Dec 01 06:45:18 PST 2017,,,801,100% (1/1),100% (1/1),100% (1/1),67864879,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.9.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.10.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.11.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.16.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.18.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.1.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.3.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.4.3.jpg,29,Bachelor,Male,3,1,1,2,2,2,3,3,4,4,5,4,5,4,Yes,{},Four,,
36D1BWBEHN1KTJJQ6B3ZLUG2P922M8,3LF081349XEWN1PVKH52NMGGHIQM0W,News credibility,You will be shown a variety of tweets on a variety of topics.  You will be asked to assess the credibility of these tweets.,"news, classification, tweets",$0.25 ,Thu Nov 30 09:32:12 PST 2017,1,BatchId:3030477;OriginalHitTemplateId:924766525;,28800,432000,Sat Dec 30 09:32:12 PST 2017,,,30BUDKLTXDVG3C8UXZNGVDAPF9BE5G,A2GBBTL8N2Q1QE,Approved,Thu Nov 30 11:37:33 PST 2017,Thu Nov 30 11:46:07 PST 2017,Tue Dec 05 11:46:07 PST 2017,Fri Dec 01 06:45:18 PST 2017,,,514,100% (1/1),100% (1/1),100% (1/1),34810335,http://ella.ils.indiana.edu/~atsou/Tweets/Article 1/art1.10.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 2/art2.11.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 3/art3.12.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 4/art4.13.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 5/art5.14.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 6/art6.15.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 7/art7.16.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 8/art8.17.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 9/art9.18.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 10/art10.1.1.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 11/art11.2.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 12/art12.3.2.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 13/art13.4.3.jpg,http://ella.ils.indiana.edu/~atsou/Tweets/Article 14/art14.5.3.jpg,53,Associate,Female,1,5,3,2,5,2,1,5,1,7,5,6,4,6,Yes,no,4,,
